sido,sigungu,road_type,road_direction,address,signal_lat,signal_lon,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1349,36.81349988,127.068874,2,1,3891,2,0,1,1,4520000
경기도,구리시,시도,3,경기도 구리시 갈매동 662,37.62546459,127.1120605,2,1,31120-TL-00838-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 648,37.63102784,127.1175621,2,1,31120-TL-00839-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,37.62956014,127.1160394,2,1,31120-TL-00841-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 606,37.6317643,127.1158594,2,1,31120-TL-00842-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 606,37.63170754,127.1158594,2,1,31120-TL-00843-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 606,37.6317354,127.1158594,2,0,31120-TL-00844-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 606,37.6317873,127.1158594,2,1,31120-TL-00845-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 606,37.63170754,127.1158594,2,1,31120-TL-00846-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 602,37.63235538,127.1161203,2,1,31120-TL-00847-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 622,37.63057906,127.1149822,2,0,31120-TL-00848-01,2,0,1,1,3980000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 829-1,35.8392876,128.6839862,1,1,8293,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 829-1,35.8392876,128.6839862,1,1,8294,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 833-1,35.8376978,128.6837239,2,0,8297,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 843-1,35.83694469,128.6834904,2,0,8299,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 843-1,35.83693,128.6834904,2,1,8301,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 843-1,35.83695,128.6834904,2,0,8303,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 843-1,35.83694469,128.6834904,2,1,8304,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 833-1,35.8376978,128.6837239,2,1,8307,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 833-1,35.8376978,128.6837239,2,1,8308,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 833-1,35.8376978,128.6837239,2,0,8309,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 829-1,35.8392876,128.6839862,2,1,8312,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 829-1,35.8392876,128.6839862,2,1,8313,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 829-1,35.8392876,128.6839862,2,1,8318,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 829-1,35.8392876,128.6839862,2,0,8319,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 829-3,35.8388346,128.6834518,2,1,8322,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 829-3,35.8388346,128.6834518,2,1,8323,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 829-3,35.8388346,128.6834518,2,0,8326,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 830,35.83852742,128.6822603,2,1,8330,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 830-1,35.83786243,128.6820517,2,1,8331,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 830-1,35.83786243,128.6820517,2,1,8334,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 830-1,35.83786243,128.6820517,2,0,8337,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 841-1,35.83692735,128.6818629,2,1,8340,2,0,0,0,6270000
대구광역시,달성군,군도,2,대구광역시 달성군 유가읍 상리 919-2,35.6830042,128.4587113,2,1,712,2,0,1,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 892-6,35.83415649,128.6872975,2,0,8233,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 894-2,35.83406769,128.6882695,2,0,8234,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 894-2,35.83406769,128.6882695,2,1,8237,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 903-1,35.83494994,128.6902726,2,1,8239,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 903-1,35.83494994,128.6902726,2,0,8240,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 903-1,35.83494994,128.6902726,2,1,8243,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 903-1,35.83494994,128.6902726,2,1,8251,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 204-5,35.83694854,128.6878638,1,1,8257,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 204-5,35.83694854,128.6878638,1,1,8260,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 877,35.83947444,128.68778,2,1,8276,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 877,35.83947444,128.68778,2,1,8279,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 877,35.83947444,128.68778,2,1,8281,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 877,35.83947444,128.68778,2,1,8282,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 877,35.83947444,128.687752,2,1,8284,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 877,35.83947444,128.68778,2,0,8285,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 877,35.83947444,128.68778,2,0,8288,2,0,0,0,6270000
경기도,하남시,시도,3,경기도 하남시 미사동 272-1,37.56991093,127.1996048,2,1,31180-TL-01438-04,2,1,0,0,4040000
경기도,하남시,시도,3,경기도 하남시 미사동 321-3,37.5700926,127.1994871,2,1,31180-TL-01432-04,2,1,0,0,4040000
대구광역시,수성구,특별시도,1,대구광역시 수성구 노변동 71-7,35.83634309,128.7038551,2,1,8174,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 노변동 367-2,35.83563358,128.7033758,1,1,8177,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 신매동 581,35.83488148,128.70546,1,1,8179,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 노변동 387,35.8357803,128.7007091,1,1,8182,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 신매동 595,35.833109,128.7044234,1,1,8183,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 신매동 597,35.83288,128.703762,2,0,8185,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 신매동 595,35.83317692,128.7044234,2,0,8186,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 노변동 755,35.83270424,128.6951647,2,0,8222,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 노변동 755,35.83270424,128.6951647,2,0,8223,2,0,0,0,6270000
대구광역시,수성구,특별시도,1,대구광역시 수성구 대흥동 892-6,35.83415649,128.6872975,2,1,8226,2,0,0,0,6270000
대구광역시,수성구,특별시도,2,대구광역시 수성구 대흥동 892-6,35.83415649,128.6872975,2,1,8227,2,0,0,0,6270000
경기도,하남시,시도,3,경기도 하남시 망월동 220-3,37.56832947,127.1975629,2,1,31180-TL-01446-04,2,0,0,0,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 220-3,37.56832947,127.1975629,2,1,31180-TL-01446-05,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 창우동 529-1,37.53664672,127.2217847,2,1,31180-TL-01444-01,2,1,0,0,4040000
경기도,하남시,시도,3,경기도 하남시 창우동 533,37.53490951,127.2253315,2,1,31180-TL-01443-03,2,1,1,0,4040000
경기도,하남시,시도,3,경기도 하남시 미사동 321-3,37.57008444,127.1994755,2,1,31180-TL-01439-04,2,1,0,0,4040000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1354,36.81072633,127.0632725,2,1,3882,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1299,36.81918795,127.063362,2,1,3876,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1341,36.82464937,127.0587523,2,1,3878,2,0,1,0,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1342,36.81899942,127.0536193,2,1,3880,2,0,1,0,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1299,36.81918795,127.063362,2,1,3874,2,0,1,1,4520000
대구광역시,동구,특별시도,1,대구광역시 동구 신천동 149-7,35.86763103,128.6226262,2,0,14887,2,0,1,1,6270000
경기도,구리시,시도,3,경기도 구리시 토평동 1010,37.59328821,127.1563475,2,0,31120-TL-00110-01,2,0,1,0,3980000
경기도,하남시,시도,3,경기도 하남시 망월동 910,37.5686438,127.1922847,2,1,31180-TL-02079-05,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 944,37.57011634,127.1897581,2,0,31180-TL-02078-04,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 944,37.57011634,127.1897581,2,0,31180-TL-02078-05,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 944,37.57011634,127.1897581,2,0,31180-TL-02077-02,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 944,37.57011634,127.1897581,2,1,31180-TL-02076-04,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 911,37.56955462,127.1902613,1,1,31180-TL-02075-03,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 944,37.57011634,127.1897581,1,1,31180-TL-02072-03,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 941,37.5711239,127.1949,1,1,31180-TL-02070-03,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 907,37.5706548,127.1902624,2,1,31180-TL-02069-04,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 907,37.5706554,127.1902624,2,0,31180-TL-02068-02,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 946,37.57110779,127.1887473,2,0,31180-TL-02067-02,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 944,37.57011634,127.1897581,2,1,31180-TL-02066-04,2,0,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 망월동 883,37.57349359,127.1900168,2,0,31180-TL-02065-01,2,0,1,1,4040000
경상북도,구미시,시도,3,경상북도 구미시 공단동 297,36.09240001,128.3894788,2,1,산호대로-142,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 공단동 295-25,36.09468466,128.3859667,2,1,산호대로-149,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 공단동 295-24,36.09513889,128.3858135,2,1,산호대로-155,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 공단동 295,36.09707837,128.3861833,2,1,산호대로-161,2,0,0,1,5080000
경상북도,구미시,시도,3,경상북도 구미시 공단동 295,36.09707837,128.3861833,2,1,산호대로-162,2,0,0,1,5080000
경기도,파주시,시도,3,경기도 파주시 문발동 621-2,37.72266336,126.7114864,1,1,236,2,0,1,0,4060000
경상북도,구미시,시도,3,경상북도 구미시 사곡동 658-1,36.10089943,128.3592417,2,1,상사동로-14,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 사곡동 658-1,36.10089943,128.3592417,2,1,상사동로-15,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 사곡동 658-1,36.10089943,128.3592712,2,1,상사동로-16,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 사곡동 658-1,36.10089943,128.3592712,2,1,상사동로-17,2,0,0,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 임은동 437-1,36.09035909,128.3586668,2,1,상사동로-20,2,0,1,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 임은동 437-1,36.09035909,128.3586838,2,1,상사동로-21,2,0,1,0,5080000
경상북도,구미시,일반국도,3,경상북도 구미시 옥계동 638-4,36.13702623,128.4170073,2,1,산호대로-128,2,0,1,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 옥계동 936,36.13899694,128.4340394,2,1,산호대로-130,2,0,1,0,5080000
경상북도,구미시,시도,3,경상북도 구미시 산동읍 봉산리 584-2,36.138853,128.4385477,2,1,산호대로-135,2,0,1,0,5080000
경기도,하남시,시도,3,경기도 하남시 감일동 348-16,37.50944372,127.1408452,1,1,31180-TL-01466-03,2,1,1,1,4040000
경기도,하남시,시도,3,경기도 하남시 감일동 348-5,37.5099834,127.1407849,1,1,31180-TL-01463-03,2,1,1,1,4040000
