sido,sigungu,doro,address,crosswalk_id,crosswalk_type,highland,crosswalk_lat,crosswalk_lon,roadnum,crosswalk_width,crosswalk_length,signal,button,sound_signal,bump,braille_block,spotlight,org_code
경상북도,구미시,교리길,경상북도 구미시 선산읍 교리 910-3,교리길-4,1,N,36.24880569,128.3043406,4,6.0,15.8,Y, , , ,Y, ,5080000
경상북도,구미시,선산향교길,경상북도 구미시 선산읍 교리 1355,선산향교길-4,1,N,36.25093001,128.3048078,2,4.0,6.3,Y, , , ,Y, ,5080000
경상북도,구미시,선산중앙로,경상북도 구미시 선산읍 동부리 502,선산중앙로-14,4,N,36.24334372,128.3051512,3,5.4,15.1,Y, , , ,N, ,5080000
경상북도,구미시,선산대로,경상북도 구미시 선산읍 동부리 502,선산대로-47,4,N,36.24320175,128.3053444,6,7.9,25.8,Y, , , ,Y, ,5080000
경상북도,구미시,동화3길,경상북도 구미시 선산읍 동부리 906,동화3길-2,4,N,36.24334466,128.3056242,4,6.0,14.6,Y, , , ,Y, ,5080000
경상북도,구미시,해마루공원로,경상북도 구미시 산동읍 신당리 1696,해마루공원로-34,4,N,36.15770752,128.4350196,7,5.93,21.39,Y, , ,Y,Y,Y,5080000
경상북도,구미시,동교4길,경상북도 구미시 선산읍 교리 1370,동교4길-4,1,N,36.24659667,128.3055252,2,6.0,8.5,Y, , , ,Y, ,5080000
경상북도,구미시,선산대로,경상북도 구미시 선산읍 교리 304-3,선산대로-43,1,N,36.24644859,128.3057084,6,8.0,22.8,Y, , , ,Y, ,5080000
경상북도,구미시,선산향교길,경상북도 구미시 선산읍 교리 1355,선산향교길-2,1,N,36.25085356,128.3059625,2,6.0,8.5,Y, , , ,Y, ,5080000
경상북도,구미시,교리북길,경상북도 구미시 선산읍 교리 1355,교리북길-2,1,N,36.25317501,128.3061973,3,6.0,7.1,Y, , , ,Y, ,5080000
