sido,sigungu,road_type,road_direction,address,signal_lat,signal_lon,road_shape,is_main_road,signal_type,has_ped_button,has_time_show,has_sound_signal,org_code,sg_uid
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 오산면 장신리 598-37,35.95088929,126.9205251,1,0,2,0,1,0,4681000,SG_005195
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 동산동 1064,35.9327672,126.9597096,1,1,2,0,1,0,4681000,SG_005196
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 동산동 674-1,35.92852261,126.9607615,1,0,2,0,1,0,4681000,SG_005197
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 동산동 639-5,35.92834099,126.9610108,1,0,2,0,1,0,4681000,SG_005198
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 신흥동 산 71-3,35.94060966,126.9819325,1,1,2,0,1,0,4681000,SG_005199
경상북도,구미시,시도,3,경상북도 구미시 원평동 421-12,36.12506172,128.33152,2,1,2,0,1,0,5080000,SG_005200
경상북도,구미시,시도,3,경상북도 구미시 봉곡동 304-1,36.14912795,128.3102338,2,1,2,0,1,1,5080000,SG_005201
경기도,하남시,시도,3,경기도 하남시 신장동 435,37.53660044,127.2086566,2,0,2,1,0,0,4040000,SG_005202
경기도,하남시,시도,3,경기도 하남시 신장동 434-2,37.5364161,127.2080154,2,1,2,1,0,0,4040000,SG_005203
경기도,하남시,시도,3,경기도 하남시 덕풍동 667-6,37.5321055,127.2002241,2,0,2,1,1,0,4040000,SG_005204
경기도,하남시,시도,3,경기도 하남시 덕풍동 667-6,37.5321055,127.2002241,2,1,2,1,1,0,4040000,SG_005205
경기도,하남시,시도,3,경기도 하남시 덕풍동 689-1,37.53425091,127.1970084,2,0,2,0,1,0,4040000,SG_005206
경기도,하남시,시도,3,경기도 하남시 덕풍동 415-84,37.53934024,127.2023162,2,0,2,0,1,0,4040000,SG_005207
경기도,하남시,시도,3,경기도 하남시 덕풍동 372-18,37.5391952,127.2020892,2,0,2,0,1,0,4040000,SG_005208
경기도,하남시,시도,3,경기도 하남시 신장동 427-169,37.5380779,127.2048021,2,0,2,0,1,1,4040000,SG_005209
경기도,하남시,시도,3,경기도 하남시 신장동 427-169,37.5380779,127.2048021,2,0,2,0,0,1,4040000,SG_005210
경기도,하남시,시도,3,경기도 하남시 신장동 427-78,37.53826882,127.2045445,2,0,2,0,1,0,4040000,SG_005211
경기도,하남시,시도,3,경기도 하남시 망월동 232-4,37.56941658,127.1967713,2,1,2,0,1,1,4040000,SG_005212
경기도,하남시,시도,3,경기도 하남시 망월동 4-9,37.56083158,127.2028282,2,1,2,0,1,1,4040000,SG_005213
경기도,하남시,시도,3,경기도 하남시 망월동 4-9,37.56083158,127.2028282,2,1,2,0,1,1,4040000,SG_005214
경기도,하남시,시도,3,경기도 하남시 하산곡동 235-1,37.51202962,127.2251902,2,0,2,0,1,0,4040000,SG_005215
경기도,하남시,시도,3,경기도 하남시 덕풍동 646-4,37.535397,127.2037224,2,1,2,0,0,0,4040000,SG_005216
경기도,하남시,시도,3,경기도 하남시 덕풍동 450-4,37.53561512,127.2036666,2,1,2,0,0,0,4040000,SG_005217
경기도,하남시,시도,3,경기도 하남시 덕풍동 647,37.53525195,127.2037877,2,1,2,0,0,0,4040000,SG_005218
경상북도,구미시,시도,3,경상북도 구미시 봉곡동 304-1,36.14912795,128.3102338,2,1,2,0,1,1,5080000,SG_005219
경상북도,구미시,지방도,3,경상북도 구미시 신평동 188,36.11921042,128.3656883,2,1,2,0,0,0,5080000,SG_005220
경기도,하남시,시도,3,경기도 하남시 망월동 1044,37.56534386,127.1821482,2,0,2,0,1,1,4040000,SG_005221
경기도,하남시,시도,3,경기도 하남시 망월동 232-4,37.5694733,127.1967405,2,1,2,0,1,1,4040000,SG_005222
경기도,구리시,시도,3,경기도 구리시 토평동 1008-3,37.59376891,127.1524013,2,0,2,0,1,1,3980000,SG_005223
경기도,구리시,시도,3,경기도 구리시 갈매동 163-135,37.64175751,127.1132036,2,1,2,0,1,1,3980000,SG_005224
경기도,구리시,시도,3,경기도 구리시 인창동 309,37.60574469,127.1344072,2,1,2,0,1,1,3980000,SG_005225
경기도,구리시,시도,3,경기도 구리시 토평동 1008-1,37.59365825,127.1533302,2,0,2,0,1,1,3980000,SG_005226
경기도,구리시,일반국도,3,경기도 구리시 갈매동 275-4,37.63217152,127.1145517,2,1,2,0,1,1,3980000,SG_005227
경기도,구리시,일반국도,3,경기도 구리시 사노동 379-6,37.63721755,127.1422486,2,1,2,0,1,1,3980000,SG_005228
경기도,구리시,일반국도,3,경기도 구리시 교문동 305-4,37.60122154,127.1221159,1,1,2,0,1,1,3980000,SG_005229
경기도,구리시,일반국도,3,경기도 구리시 인창동 309,37.60574469,127.1344072,2,1,2,0,1,1,3980000,SG_005230
경기도,구리시,일반국도,3,경기도 구리시 인창동 576-22,37.6044633,127.1339099,2,1,2,0,1,1,3980000,SG_005231
