sido,sigungu,road_type,road_direction,address,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경기도,의정부시,시도,3,경기도 의정부시 용현동 548-7,2,1,1285-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 고산동 852-74,2,1,1286-TR-02,2,1,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1288-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 564,2,1,1289-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 564,2,1,1290-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 용현동 77-2,2,1,1291-TR-04,2,1,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 701,2,1,1292-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 714,2,0,1257-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 313-12,2,1,1258-TR-02,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 561,2,1,1259-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 684,2,1,1260-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 690,2,1,1261-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 549-3,2,1,1263-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 고산동 722-2,2,1,1264-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 798-1,2,0,1265-TR-02,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 고산동 848-5,2,1,1267-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 561,2,1,1269-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 561,2,1,1270-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1232-TR-01,2,0,1,1,3820000
